Sentence	Label
यहां तक कि मेरी बीएमडब्ल्यू 3 श्रृंखला में जो काफी शांत है, मुझे यह सुनने में परेशानी है कि दूसरा व्यक्ति क्या कह रहा है।	0
बहुत बढ़िया पसंद!	1
घर या काम के लिए अच्छा डॉकिंग स्टेशन।	1
यह एक खूबसूरत फोन है।	1
इस उत्पाद को प्यार करो।	1
D807 के लिए खरीदारी न करें ... गलत तरीके से D807 के लिए विज्ञापन दिया गया।	0
यह एक महान छोटी वस्तु है।	1
मुझे यह फोन बहुत पसंद है, यह बहुत काम का है और इसमें बहुत सारे फीचर हैं।	1
मैंने इसे खरीद लिया और 2 दिनों के भीतर यह काम नहीं कर रहा था !!!!!!!!!	0
मैं इसे रोज पहनता हूं और यह बहुत अच्छा है।	1
अच्छा मोलभाव नहीं।	0
अच्छी तरह से पैक किया गया, समय पर आया, और इरादा के अनुसार काम करता है।	1
बैटरी जल्दी खत्म हो जाती है।	0
इस आइटम ने बहुत अच्छा काम किया, लेकिन 6 महीने के उपयोग के बाद यह टूट गया।	0
हेडसेट का उपयोग करना आसान है और हर कोई उन्हें प्यार करता है।	1
यह फोन शानदार काम करता है।	1
हेडसेट का निर्माण खराब है।	0
उत्पाद उत्कृष्ट था और वर्जन एक से बेहतर काम करता था और बॉय यह सस्ता था!	1
फोन सुपर लोड!	1
एक ऐसे उत्पाद के लिए जिसकी लागत जितनी अधिक होती है, मैं यह उम्मीद करता हूं कि वह इससे कहीं बेहतर काम करे और इस चीज की तुलना में अधिक आसानी के साथ।	0
बहुत तगड़ा बना।	1
महान काम किया!।	1
कान की कलियाँ केवल एक कान में संगीत बजाती हैं।	0
अपना पैसा बर्बाद मत करो ...	0
फिर से उनसे आदेश लेंगे!	1
यदि आप इसे कार में उपयोग करने की योजना बनाते हैं तो इसके बारे में भूल जाएं।	0
मुझे यह उत्पाद बहुत बड़ा लग रहा था।	0
सर्वश्रेष्ठ मैंने अब तक पाया है .... मैंने 2 अन्य ब्लूटूथ की कोशिश की है और यह एक सबसे अच्छी गुणवत्ता है (मेरे और श्रोता दोनों के लिए) और साथ ही उपयोग करने में आसानी।	1
मैं अपने फैसले से बहुत निराश हूं।	0
मोटोरोला RAZR फोन के साथ एकीकृत रूप से।	1
क्रेता खबरदार, आप शौचालय के नीचे पैसा बहा सकते हैं।	0
निश्चित रूप से एक सौदा।	1
कीमत बहुत अच्छी थी और मुफ्त शिपिंग के साथ और यह एक अच्छी खरीद थी।	1
मुझे अपना कथित रूप से नया मोटर 375 प्राप्त हुआ और जाहिर है कि फोन और चार्जर के बीच कोई मेल नहीं था।	0
पेशेवरों: - अच्छा कैमरा - बहुत अच्छी तस्वीरें, यह भी काले और सफेद की तरह शांत शैलियों, और अधिक है।	1
यह एक विशाल डिजाइन दोष है (जब तक कि मैं इसे सही ढंग से उपयोग नहीं कर रहा हूं, जो मुझे नहीं लगता कि मामला है)।	0
मुझे मेरा 350 हेडसेट पसंद है .. मेरा Jabra350 ब्लूटूथ हेडसेट शानदार है, रिसेप्शन बहुत अच्छा है और कान का टुकड़ा एक आरामदायक फिट है।	1
कैमरा, हालांकि एक प्रभावशाली 1.3 मेगापिक्सल पर रेटेड है, ऐसे चित्रों को प्रस्तुत करता है जो इस तरह के अपेक्षाकृत उच्च रिज़ॉल्यूशन की अपेक्षा से नीचे आते हैं।	0
मैंने कार चार्जर के लिए इसे पुरस्कैश किया और यह काम नहीं करता है।	0
दोनों छोरों पर ध्वनि की गुणवत्ता उत्कृष्ट है, मैं अपनी पत्नी को कॉल करने के लिए हेडसेट का उपयोग करता हूं और अपनी पत्नी को मुझे कॉल करने के लिए हेडसेट का उपयोग करने के लिए कहता हूं! 2।	1
यह फोन पतला और हल्का है और डिस्प्ले सुंदर है।	1
यह एक छोटा सा geeky है, लेकिन मुझे लगता है कि यह टोस्ट पर सेक्स करता है और यह अपनी बैटरी एम्बेडेड स्टाइलिश चमड़े के मामले में चट्टानों और oozes सेक्स को सही करता है।	1
महान उत्पाद, तेजी से शिपिंग !.	1
एक दम अच्छी।	1
कीबोर्ड एक पूर्ण QWERTY और बुनियादी सेल फोन नंबर कीपैड के बीच एक अच्छा समझौता है।	1
मुझे यह फोन मई के अंत में मिला और मैं इससे पूरी तरह नाखुश हूं।	0
यह कान पर बहुत आरामदायक है।	1
यह हमारे लिए विजेता रहा है।	1
) सेटअप सरल नहीं हो सकता था।	1
मैंने अपने सेल फोन के लिए कई अलग-अलग इयरपीस आज़माए हैं और यह जबरा पहला ऐसा है जिसे मैंने पाया है कि यह मेरे कान को आराम से फिट करता है।	1
पर्याप्त मजबूत सिग्नल नहीं मिल सका।	0
अपनी खरीददारी से मुझे बेहद खुशी हुई है।	1
खराब गुणवत्ता।	0
काम हो जाता है।	1
महान ऑडियो !.	1
मूल रूप से सेवा बहुत खराब थी।	0
यह मेरे सेल फोन प्लग में काम नहीं करता था मैं बहुत चार्जर के साथ सेट हूँ!	0
मैंने केवल कुछ हफ्तों के लिए अपना ब्लूटूथ लिया है, लेकिन मैं वास्तव में इसे पसंद करता हूं।	1
बीटी हेडसेट इस तरह का एक अव्यवस्था था।	0
यह बहुत छोटा है और आपको यह भी एहसास नहीं है कि इसे इस्तेमाल करने की थोड़ी देर के बाद यह वहाँ है।	1
साथ में सॉफ्टवेयर लगभग शानदार है।	1
हेडसेट महान काम करता है और किसी भी नुकसान से बचने के लिए अच्छी तरह से पैक किया गया था।	1
! मैं निश्चित रूप से सलाह देते हैं !!	1
खरीदार - बहुत सावधान रहें !!!!!	0
लॉजिटेक ईयरबड हेडसेट के अधिकांश भाग विफल रहे।	0
कीमत के लिए बहुत अच्छा सामान।	1
मेरा हेडसेट सिर्फ पीच-कीन काम करता है।	1
मेरे घर में मुझे ऊपर की ओर गिराया गया और मेरे तहखाने में कोई कवरेज नहीं मिला।	0
आवाज की पहचान जबरदस्त है!	1
कितना बेकार है।	0
कई अलग-अलग 2 मिनट की कॉल के दौरान, मुझे 5 बूंदों का अनुभव हुआ और यह एक ऐसे क्षेत्र में था जिसमें 5 बार थे।	0
मैं इस मद से खुश नहीं था।	0
बहुत निराश।	0
फोन को शाब्दिक रूप से 2 से 5 घंटे चार्ज करने में मदद करता है।	0
मेरे पास यह फोन एक रिश्तेदार से प्रतिपूर्ति पर है और मुझे खुशी है कि मैंने किया।	1
क्या समय की बर्बादी है!	0
इसका स्वागत बहुत घटिया है।	0
विवरण के अनुसार बताए गए आइटम शामिल नहीं हैं।	0
3 महीने बाद, स्क्रीन अचानक काली हो गई।	0
आई वाज़ होपिंग फॉर मोर।	0
ऑडियो गुणवत्ता खराब है, बहुत खराब है।	0
मुझे इस हेडसेट को अपने 8530 ब्लैकबेरी कर्व से जोड़ने में कोई समस्या नहीं थी!	1
मुझे पता है कि यह अजीब लगता है, लेकिन मेरे लिए यह स्केच तकनीक जैसा लगता था जो अच्छी तरह से काम नहीं करेगा। हां, यह बहुत अच्छा काम करता है।	1
मैंने $ 5 तार वाले हेडफ़ोन खरीदे हैं जो इनसे बेहतर लगते हैं।	0
यह फोन किसी भी तरह के संदेश भेजने के साथ बहुत तेज है और वेब ब्राउजिंग पिछले फोन की तुलना में काफी तेज है।	1
कुछ सस्ते s *** के विपरीत, अच्छी गुणवत्ता का निर्माण।	1
यह आइटम शानदार है और पूरी तरह से काम करता है!	1
और मुझे सिर्फ रंगों से प्यार है!	1
W810i सिर्फ SUPERB है।	1
मैं बस इतना ही कर सकता हूं कि इंटरनेट पर व्हाइन है, तो यहां यह हो जाता है। जितना मैं इस चीज का उपयोग करता हूं, उतना ही मुझे यह पसंद है।	0
बढ़िया चार्जर।	1
यह अनिवार्य रूप से एक संचार उपकरण है जो संवाद नहीं करता है।	0
एक जादू की तरह काम करता है; यह उसी तरह काम करता है जैसा कि मुझे फोन के साथ मिला था।	1
मैं अभी भी इस बात को बनाए रखता हूं कि बंदरों को हेडफोन नहीं बनाना चाहिए, हम स्पष्ट रूप से मनुष्यों को डिजाइन की नकल करने के लिए पर्याप्त डीएनए साझा नहीं करते हैं।	0
बड़ा मूल्यवान।	1
बिल्कुल काम नहीं करता है .. मैं इसे अपने L7c और इसके काम नहीं करने के लिए तैयार करता हूं।	0
इसका लुक बहुत शार्प है और शानदार ग्राफिक्स के साथ स्क्रीन अच्छी और स्पष्ट है।	1
लंबे समय तक नहीं रहता है।	0
एक चीज जो मुझे नफरत है, वह है साइड में मोड सेट बटन।	0
बहुत अच्छी सेवा!!!!!!!!।	1
मेरा पैसा बर्बाद करने के लिए धन्यवाद।	0
यह कैसे हो सकता है? ऑडियो गुणवत्ता खराब है।	0
IGo चार्जर और टिप्स वाकई शानदार हैं।	1
फ़ाइल ब्राउज़र सभी विकल्पों की पेशकश करता है जो एक की जरूरत है। हैंड्सफ्री महान है।	1
शानदार नेटवर्क पर शानदार फोन।	1
मैंने अपनी पत्नी के ब्लूटूथ, (मोटोरोला HS850) को अपने फोन से जोड़ा और यह एक आकर्षण की तरह काम करता था कि फोन मेरी जेब में है या मामला।	1
मैंने उस पर नवीनतम OS (v1.15g) डाला, और यह अब एक क्रॉल को धीमा करना और हर एक बार थोड़ी देर में लॉक करना पसंद करता है।	0
यह केवल फोन को अपने स्टोरेज डिवाइस के रूप में पहचानता है।	0
यदि आप अपने सभी वार्तालापों को ओवरराइड करने के लिए जोर से गुलजार पसंद करते हैं, तो यह फोन आपके लिए है!	0
इस उत्पाद को न खरीदें।	0
मेरे पास कुछ समय के लिए यह ब्लिटोउथ हेडसेट है और अभी भी यह कान पर फिट होने के तरीके से सहज नहीं है।	0
ध्वनि की गुणवत्ता अच्छी है और कार्यक्षमता कमाल की है।	1
मेरे पास यह फोन है और यह मेरे पक्ष में एक कांटा है, मैं वास्तव में इसे घृणा करता हूं।	0
मुझे हाल ही में समस्याएं हुईं जहां मैं डिस्कनेक्ट होने से पहले 10 मिनट से अधिक समय तक जुड़ा नहीं रह सका।	0
अतुल्य !.	1
रचनात्मक गलती?।	0
महान फोन !.	1
13 रुपये की बर्बादी।	0
लेकिन जब मैं रात में वॉयस मेल की जांच करता हूं, तो कीपैड बैकलाइट पहले संदेश में कुछ सेकंड बंद कर देता है, और फिर मैं खो जाता हूं।	0
प्रतिस्थापन कुछ हफ्तों में मर गया।	0
कोई भी रिंग टोन..सब खरीदने के लिए अच्छा फोन ..	1
हाल ही में वे फोन पर बहुत अच्छे और सहायक रहे हैं।	1
मैं समस्याओं हिट बुद्धि छोड़ने के संकेत और अधिक किया है।	0
प्रभावित नहीं हुआ।	0
हल्के वजन, मैं शायद ही यह वहाँ है नोटिस।	1
आपको पसंद आएगा कि यह कितना पतला है।	1
खराब चुनाव।	0
पंख का मामला फिट नहीं है।	0
बेकार फोन, बस बहरा।	0
जैसा कि मैंने सोचा था कि रंग बहुत सुंदर है, और ग्राफिक्स अविश्वसनीय रूप से तेज हैं।	1
सभी मुझे लगता है कि यह एक अच्छा निवेश था।	1
यह कॉल समाप्त होने से पहले बहुत अजीब टिक शोर करता है।	0
उपलब्ध एफएम ट्रांसमीटर का सबसे अच्छा इलेक्ट्रॉनिक्स।	1
बैटरी केवल कुछ घंटों तक चलती है।	0
महान हेडसेट, बहुत प्रभावित - H500।	1
&quot;1.2&quot; मेगा पिक्सेल कैमरा, एक फोन का हिस्सा होने के कारण, काफी अच्छा है 7।	1
मैंने इसे लगभग 2 वर्षों के लिए लिया है और इसने मेरे लिए बहुत काम किया है।	1
अच्छा प्रसारण ऑडियो।	1
हम इसे वापस भेज रहे हैं।	0
मैंने कुछ डॉलर उत्पाद के लिए कंपनी से संपर्क करने की जहमत नहीं उठाई, लेकिन मैंने सबक सीखा कि मुझे इस फॉर्म को वैसे भी ऑनलाइन नहीं खरीदना चाहिए था।	0
अगर आपको ईयरबग्स से नफरत है, तो हर तरह से इस फोन से बचें।	0
बड़ी कीमत भी!	1
रेंज बहुत ही सभ्य है, मैं अपने घर के आसपास रहने वाले कमरे में बिना किसी रिसेप्शन / साउंड क्वालिटी के मुद्दों के साथ घूमने में सक्षम हूं।	1
शीघ्र सेवा।	1
मैं इसकी अत्यधिक सिफारिश करूंगा।	1
मैं इसकी सिफारिश करूंगा।	1
मुझे &quot;ऑन&quot; बटन भी पसंद नहीं था, ऐसा लगा कि यह उपयोग के साथ क्रैक होगा।	0
फोन कभी भी काम करें।	0
मैं अब भी इस फोन से प्रभावित हूं।	1
अक्सर जमा देता है ४।	0
यह देखने में शर्मनाक है कि यह कैसे दिखता है और ज्यादातर यह शर्मनाक है कि बच्चे की तरह कंपनी कैसी है।	0
सरल, हल्के और महान फिट।	1
सभी में, मुझे मोटोरोला से बेहतर उपभोक्ता अनुभव की उम्मीद थी।	0
मेरे सभी कॉल पर पृष्ठभूमि में एक भयानक टिक ध्वनि है जो मैंने पहले कभी अनुभव नहीं की है।	0
ये निश्चित रूप से बहुत सहज हैं और कार्यक्षमता सभ्य है।	1
मुझे आमतौर पर हेडबैंड्स पसंद नहीं हैं, लेकिन यह बहुत हल्का है और मेरे बालों को गड़बड़ नहीं करता है।	1
मैं थोड़ा निराश हूं।	0
मेरे पास एक साल से अधिक समय से यह फोन है, और मैं आपको बताऊंगा, यह बहुत अच्छा नहीं है।	0
मैं सोनी एरिक्सन W810i के लिए यह आदेश दिया, लेकिन मुझे लगता है कि यह केवल एक बार काम किया (यानी जब मैंने पहली बार इसका इस्तेमाल किया था)।	0
बैटरी मेरे लिए पूरी तरह से बेकार है।	0
समय की कितनी बड़ी बर्बादी।	0
इस पर अपने $ $ $ बर्बाद मत करो।	0
महान ध्वनि और सेवा।	1
वास्तव में इस उत्पाद से अब तक प्रसन्न है।	1
मेरी पसंदीदा खरीदारी में से एक।	1
बाजार पर सबसे अच्छा ब्लूटूथ।	1
अच्छा चमक और आराम के साथ प्रामाणिक चमड़ा। मैं आपको इस मामले की सलाह देता हूं !!	1
मैं इस हेडसेट को पाने के लिए बहुत उत्साहित था क्योंकि मुझे लगा कि यह वास्तव में प्यारा था।	1
मेरे जैसी गलती मत करना।	0
कैलेंडर सिंक के साथ बड़ी निराशा।	0
फोन अनुपयोगी था और नया नहीं था।	0
सबसे खराब ग्राहक सेवा कभी।	0
कोई अतिरिक्त ईयर जैल नहीं दिया गया है, और कोई निर्देश नहीं है।	0
यह एक ब्लूटूथ हेडसेट के उद्देश्य को हरा देता है।	0
पैसा वसूल।	1
उत्कृष्ट वॉलेट प्रकार फोन केस।	1
कीमत के लिए अच्छा हेडफोन और वे महान काम करते हैं!	1
इंटरनेट बहुत धीमी गति से चल रहा है।	0
साथ ही पहनने के लिए यह बहुत आरामदायक है, जो शायद एक मामले का उपयोग करने के बारे में सबसे महत्वपूर्ण पहलू है।	1
यह एक दस्ताने की तरह फिट है और मजबूत, सुरक्षित और टिकाऊ है।	1
हे मेरे पास मेरे पास अब तक का सबसे अच्छा फोन है।	1
यह बहुत आकर्षक है और अच्छी गुणवत्ता का प्रतीत होता है।	1
मुझे सभी फीचर्स और फॉर्म फैक्टर बहुत पसंद हैं।	1
इस उत्पाद में एक मजबूत रबर / पेट्रोलियम गंध था जो थोड़ी देर के बाद असहनीय हो गया था और इसके कारण मुझे इसे वापस करना पड़ा	0
खराब गुणवत्ता और सेवा।	0
केबल इतनी पतली और भड़कीली दिखती है, यह डरावना है।	0
महान इयरपीस।	1
उत्कृष्ट हाथ मुक्त उपकरण।	1
अपने घर के स्टीरियो के साथ उपयोग करने के लिए बढ़िया है।	1
अच्छा उत्पाद - अविश्वसनीय मूल्य।	1
केवल यह एक महीना था, लेकिन यह अब तक निर्दोष रूप से काम कर रहा है।	1
बहुत अच्छा काम करता है।	1
बिल्कुल कबाड़।	0
एक भी काम नहीं किया	0
बैटरी जीवन वास्तविक अच्छा है।	1
8 घंटे बाद लौटा।	0
बहुत अच्छी चीज है।	1
अपना पैसा बर्बाद मत करो!	0
इस हेडसेट को प्यार करो!	1
यह न केवल आपके खिलाड़ी को सूखा देगा, बल्कि संभावित रूप से इसे भून भी सकता है।	0
पूरी तरह से काम किया!	1
अविश्वसनीय - मैं दे रहा हूँ।	0
साउंड क्वालिटी की वजह से मैंने इसे 5 स्टार दिए।	1
यदि आप कर सकते हैं तो इससे बचें।	0
प्रतिवर्ती प्लग महान काम करता है।	1
मैंने इस इयरपीस के साथ अपना थोड़ा पैसा बर्बाद किया।	0
बहुत अच्छा फोन।	1
सभी के सर्वश्रेष्ठ घूर्णन सुविधा है, बहुत उपयोगी है।	1
हमारे पूरे परिवार के लिए आराम।	1
अच्छा उत्पाद, अच्छा विक्रेता।	1
मैं इस ब्लूटूथ प्यार करता हूँ!	1
सबसे पहले, यह अच्छी तरह से नहीं पहनता है।	0
मैं प्लांट्रोनिक्स के इस हेडसेट से बहुत प्रभावित हूं।	1
मुझे मिल गया क्योंकि यह बहुत छोटा और मनमोहक था।	1
महान फोन !.	1
मैं इस उत्पाद को खरीदने की सलाह नहीं दूंगा।	0
कबाड़ का टुकड़ा।	0
बुरी तरह से काज का विरोध।	0
यह आइटम बहुत अच्छा है, इसे स्थापित करें, इसे ओवरनाइट पर आरोपित करें और यह बिना किसी समस्या के हर बार अच्छा काम कर रहा है	1
शानदार फोन।	1
इसे मत खरीदो।	0
बहुत बढ़िया फ़ोन।	1
इस फोन को हासिल न करें।	0
हैंडसेट के माध्यम से आवाज की पहचान उत्कृष्ट है।	1
यह मेरे पास अब तक का सबसे अच्छा फोन है।	1
महान काम करता है, जब मेरी बिल्ली ने फोन पर हमला किया तो उसने स्क्रीन को नष्ट करने के बजाय सुरक्षात्मक पट्टी को खरोंच दिया।	1
यह एक काम करता है और सही कीमत था।	1
ग्राहक सेवा भयानक थी।	0
मोटोरोला रेजर V3i में अभी भी बैटरी लाइफ काफी लंबी नहीं है।	0
इसे वापस भेजा जा रहा है।	0
अब मुझे पता है कि मैंने एक बुद्धिमान निर्णय लिया।	1
किसी को यह जल्द ही आविष्कार करना चाहिए।	1
अच्छी कीमत।	1
सब कुछ पहली कोशिश पर काम किया। डिवाइस निश्चित रूप से एक चतुर तरीके से इंजीनियर था और निर्माण अच्छा लगता है।	1
मैंने इसे जल्दी प्राप्त किया और यह बहुत अच्छा है !!	1
बढ़िया काम कर रहा है।	1
जैसा कि कई लोगों ने शिकायत की, मैंने पाया कि इस हेडसेट का माइक्रोफोन बहुत कमजोर था।	0
Tracfone से मेरा 5 वर्षीय नोकिया 2160 का चार्ज इससे काफी बेहतर है।	0
वे उपभोक्ता के बारे में एक बिट की परवाह नहीं करते हैं।	0
यह एक अच्छी बैटरी है, और यह वास्तव में तेजी से यहाँ मिला है।	1
निर्देश पुस्तिका का अभाव है।	0
इसके अलावा इसके स्लिम केस को हटाए बिना मेरे अलार्म क्लॉक डॉकिंग स्टेशन में फिट होने के लिए पर्याप्त है।	1
फोन अब चार्ज की तरह है जब यह नया था।	1
बैटरी अविश्वसनीय है और साथ ही सेवा उपयोग एंटेना भी है।	0
यह असुविधाजनक है और फोन (रेज़र) या मेरे पिछले वायर्ड हेडसेट (जो एलजी में प्लग किया गया है) के साथ तुलना में ध्वनि की गुणवत्ता काफी खराब है।	0
हमें इस पर बहुत सारी प्रशंसा मिली है।	1
यह निश्चित रूप से एक होना चाहिए अगर आपका राज्य ड्राइविंग करते समय सेल फोन के उपयोग की अनुमति नहीं देता है।	1
मैं अपना पैसा वापस चाहता हूं।	0
मुझे यह डिवाइस बहुत पसंद है।	1
मैं भी कीमत से बहुत खुश हूं।	1
मैंने पहले इस उत्पाद का आदेश दिया था और इससे तुरंत नाखुश था।	0
